id,multiplier,recorded_at
5935,2.13,2026-05-22 10:12:31.495215+00
5936,2.01,2026-05-22 10:12:56.468721+00
5937,1.08,2026-05-22 10:13:04.741065+00
5938,1.92,2026-05-22 10:13:29.620949+00
5939,1.07,2026-05-22 10:13:37.89208+00
5940,2.19,2026-05-22 10:14:02.831563+00
5941,6.97,2026-05-22 10:14:44.322437+00
5942,1.09,2026-05-22 10:14:52.735929+00
5943,1.01,2026-05-22 10:15:09.473749+00
5944,1.01,2026-05-22 10:15:25.958683+00
5945,1.48,2026-05-22 10:15:42.778362+00
5946,9.46,2026-05-22 10:16:16.597055+00
5947,2.57,2026-05-22 10:16:41.541744+00
5948,1.69,2026-05-22 10:17:22.137312+00
5949,4.23,2026-05-22 10:17:30.584454+00
5950,2.17,2026-05-22 10:17:56.01424+00
5951,9.23,2026-05-22 10:18:29.060466+00
5952,1.77,2026-05-22 10:18:54.284026+00
5953,3.03,2026-05-22 10:19:19.219294+00
5954,1.24,2026-05-22 10:19:35.7172+00
5955,1.81,2026-05-22 10:19:52.246197+00
5956,1.72,2026-05-22 10:20:17.286582+00
5957,4.38,2026-05-22 10:20:41.939212+00
5958,3.14,2026-05-22 10:21:15.29133+00
5959,3.23,2026-05-22 10:21:40.443184+00
5960,2.34,2026-05-22 10:22:05.412014+00
5961,1.9,2026-05-22 10:22:22.031115+00
5962,1.07,2026-05-22 10:22:38.692052+00
5963,4.13,2026-05-22 10:23:11.724722+00
5964,3.31,2026-05-22 10:23:36.557292+00
5965,3.58,2026-05-22 10:24:09.851358+00
5966,1.74,2026-05-22 10:24:26.673609+00
5967,4.59,2026-05-22 10:24:59.691054+00
5968,1.16,2026-05-22 10:25:16.521005+00
5969,1.24,2026-05-22 10:25:33.118823+00
5970,1.88,2026-05-22 10:25:49.700046+00
5971,16.23,2026-05-22 10:26:39.56278+00
5972,2.44,2026-05-22 10:27:04.382788+00
5973,1.5,2026-05-22 10:27:21.013001+00
5974,1.71,2026-05-22 10:27:37.567907+00
5975,9.98,2026-05-22 10:28:27.278068+00
5976,1.38,2026-05-22 10:28:43.853045+00
5977,4.11,2026-05-22 10:29:08.504952+00
5978,1.22,2026-05-22 10:29:24.94438+00
5979,1.01,2026-05-22 10:29:41.462606+00
5980,11.85,2026-05-22 10:30:22.649726+00
5981,1.71,2026-05-22 10:30:47.629401+00
5982,1.61,2026-05-22 10:31:04.337716+00
5983,1.15,2026-05-22 10:31:20.951158+00
5984,17.36,2026-05-22 10:32:02.434308+00
5985,1.07,2026-05-22 10:32:19.010932+00
5986,1.39,2026-05-22 10:32:35.678033+00
5987,6,2026-05-22 10:33:08.856429+00
5988,3.2,2026-05-22 10:33:42.214381+00
5989,1.16,2026-05-22 10:33:58.888692+00
5990,1.5,2026-05-22 10:34:15.497494+00
5991,34.65,2026-05-22 10:35:13.300572+00
5992,1.09,2026-05-22 10:35:21.621202+00
5993,1.26,2026-05-22 10:35:38.303235+00
5994,1.87,2026-05-22 10:36:03.331689+00
5995,7.62,2026-05-22 10:36:44.660195+00
5996,19.2,2026-05-22 10:37:34.398147+00
5997,6.04,2026-05-22 10:38:07.598618+00
5998,1.93,2026-05-22 10:38:32.779378+00
5999,9.95,2026-05-22 10:39:14.400458+00
6000,4.46,2026-05-22 10:39:39.343278+00
6001,2.26,2026-05-22 10:40:04.22589+00
6002,1.65,2026-05-22 10:40:29.223985+00
6003,1.23,2026-05-22 10:40:37.53316+00
6004,9.1,2026-05-22 10:41:10.654386+00
6005,2.61,2026-05-22 10:41:35.633858+00
6006,7.16,2026-05-22 10:42:16.981377+00
6007,2.03,2026-05-22 10:42:42.021577+00
6008,1.45,2026-05-22 10:42:58.821048+00
6009,1.18,2026-05-22 10:43:15.63652+00
6010,1.25,2026-05-22 10:43:32.354016+00
6011,3.36,2026-05-22 10:43:57.252285+00
6012,2.27,2026-05-22 10:44:22.432485+00
6013,9.91,2026-05-22 10:44:55.851226+00
6014,7.16,2026-05-22 10:46:10.545447+00
6015,1.02,2026-05-22 10:46:18.819542+00
6016,1.2,2026-05-22 10:46:35.421087+00
6017,9.02,2026-05-22 10:47:16.547577+00
6018,3.07,2026-05-22 10:47:41.550973+00
6019,6.57,2026-05-22 10:48:23.232359+00
6020,4.02,2026-05-22 10:48:56.555977+00
6021,1.46,2026-05-22 10:49:13.192625+00
6022,2.19,2026-05-22 10:49:29.881992+00
6023,3.11,2026-05-22 10:50:03.150855+00
6024,1.06,2026-05-22 10:50:11.557061+00
6025,1.25,2026-05-22 10:50:28.128953+00
6026,146.33,2026-05-22 10:51:42.094174+00
6027,3.26,2026-05-22 10:52:15.563474+00
6028,14.66,2026-05-22 10:52:56.888563+00
6029,1.43,2026-05-22 10:53:22.001427+00
6030,1.93,2026-05-22 10:53:38.745593+00
6031,8.71,2026-05-22 10:54:20.271929+00
6032,1.79,2026-05-22 10:54:36.890385+00
6033,1.14,2026-05-22 10:54:53.602729+00
6034,1.13,2026-05-22 10:55:10.34702+00
6035,1.23,2026-05-22 10:55:26.910955+00
6036,2.1,2026-05-22 10:55:51.899719+00
6037,19.33,2026-05-22 10:56:33.189449+00
6038,1.9,2026-05-22 10:56:58.441392+00
6039,1.59,2026-05-22 10:57:15.11342+00
6040,1.88,2026-05-22 10:57:40.122679+00
6041,8.45,2026-05-22 10:58:13.120025+00
6042,25.8,2026-05-22 10:59:11.430444+00
6043,1.45,2026-05-22 10:59:28.072593+00
6044,1.28,2026-05-22 10:59:44.89624+00
6045,4.32,2026-05-22 11:00:18.151026+00
6046,6.36,2026-05-22 11:00:51.346802+00
6047,16.46,2026-05-22 11:01:41.070084+00
6048,9.9,2026-05-22 11:02:14.030061+00
6049,66.63,2026-05-22 11:03:20.479967+00
6050,3.91,2026-05-22 11:03:54.172891+00
6051,2.17,2026-05-22 11:04:10.858469+00
6052,1.3,2026-05-22 11:04:27.483448+00
6053,8.93,2026-05-22 11:05:08.692486+00
6054,1.43,2026-05-22 11:05:25.241743+00
6055,2.65,2026-05-22 11:05:50.235605+00
6056,2.27,2026-05-22 11:06:15.038482+00
6057,2.82,2026-05-22 11:06:40.108418+00
6058,11.78,2026-05-22 11:07:29.836066+00
6059,2.16,2026-05-22 11:07:46.531816+00
6060,4.54,2026-05-22 11:08:19.577001+00
6061,1.9,2026-05-22 11:08:44.711632+00
6062,1.83,2026-05-22 11:09:01.16059+00
6063,21.36,2026-05-22 11:09:59.113053+00
6064,12.43,2026-05-22 11:10:40.723402+00
6065,1.06,2026-05-22 11:10:57.39179+00
6066,1.5,2026-05-22 11:11:14.182499+00
6067,1.56,2026-05-22 11:11:30.72152+00
6068,1.35,2026-05-22 11:11:47.487874+00
6069,1.76,2026-05-22 11:12:04.160197+00
6070,2.01,2026-05-22 11:12:29.045063+00
6071,3.84,2026-05-22 11:13:02.492634+00
6072,15.47,2026-05-22 11:13:43.785644+00
6073,3.81,2026-05-22 11:14:17.317087+00
6074,1.19,2026-05-22 11:14:34.050108+00
6075,1.19,2026-05-22 11:14:50.819703+00
6076,1.7,2026-05-22 11:15:07.438893+00
6077,15.76,2026-05-22 11:15:57.213166+00
6078,6.93,2026-05-22 11:16:30.240646+00
6079,1.16,2026-05-22 11:16:47.072551+00
6080,1.31,2026-05-22 11:17:03.671955+00
6081,2.11,2026-05-22 11:17:28.756123+00
6082,2.11,2026-05-22 11:17:45.212319+00
6083,1.84,2026-05-22 11:18:10.460798+00
6084,1.12,2026-05-22 11:18:18.809126+00
6085,8.43,2026-05-22 11:19:00.075258+00
6086,3.45,2026-05-22 11:19:33.512328+00
6087,3.56,2026-05-22 11:19:58.256449+00
6088,14.81,2026-05-22 11:20:48.288368+00
6089,1.25,2026-05-22 11:21:05.057706+00
6090,1.86,2026-05-22 11:21:21.523575+00
6091,31.99,2026-05-22 11:22:19.676041+00
6092,2.15,2026-05-22 11:22:44.668046+00
6093,1.06,2026-05-22 11:22:53.106203+00
6094,4.57,2026-05-22 11:23:26.231964+00
6095,6.07,2026-05-22 11:24:07.671391+00
6096,9.46,2026-05-22 11:24:41.354469+00
6097,2.23,2026-05-22 11:25:06.493721+00
